hour,day,month,distance,surge_multiplier,temperature,apparenttemperature,precipintensity,precipprobability,humidity,windspeed,windgust,visibility,temperaturehigh,temperaturelow,apparenttemperaturehigh,apparenttemperaturelow,dewpoint,pressure,windbearing,cloudcover,uvindex,ozone,moonphase,precipintensitymax,temperaturemin,temperaturemax,apparenttemperaturemin,apparenttemperaturemax,source_back_bay,source_beacon_hill,source_boston_university,source_fenway,source_financial_district,source_haymarket_square,source_north_end,source_north_station,source_northeastern_university,source_south_station,source_theatre_district,source_west_end,destination_back_bay,destination_beacon_hill,destination_boston_university,destination_fenway,destination_financial_district,destination_haymarket_square,destination_north_end,destination_north_station,destination_northeastern_university,destination_south_station,destination_theatre_district,destination_west_end,cab_type_lyft,cab_type_uber,name_black,name_black_suv,name_lux,name_lux_black,name_lux_black_xl,name_lyft,name_lyft_xl,name_shared,name_uberpool,name_uberx,name_uberxl,name_wav,weather_clear,weather_drizzle,weather_foggy,weather_light_rain,weather_mostly_cloudy,weather_overcast,weather_partly_cloudy,weather_possible_drizzle,weather_rain,predicted_price,predicted_price_per_mile
17,2,11,2.32,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.505834648897125,4.528377003834968
6,2,11,2.72,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10.91639420356268,4.013380221898044
6,2,11,2.72,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.98020973017475,4.036841812564246
17,2,11,2.72,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10.94829247649682,4.02510752812383
17,2,11,2.72,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11.01210800310889,4.048569118790033
6,2,11,1.1,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.371365297021106,6.701241179110096
6,2,11,1.1,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.435180823633175,6.759255294211977
17,2,11,1.1,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.4006325032196285,6.727847730199661
17,2,11,1.1,1.0,41.34,35.14,0.0,0.0,0.63,8.76,14.9,9.973,42.57,33.1,38.93,29.11,29.17,991.33,303.0,0.99,1.0,323.9,0.72,0.0,33.7,42.57,29.94,38.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.464448029831697,6.785861845301542
6,2,11,1.89,1.0,41.83,36.79,0.0,0.0,0.92,9.42,12.67,5.589,46.6,33.1,43.97,29.11,39.6,1000.05,110.0,1.0,0.0,288.3,0.68,0.1064,35.36,46.6,31.04,43.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.221607656996975,4.87915749047459
