,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
63,63,Fenway,Haymarket Square,23.06604187000721,6,1,Clear,42.347,-71.092,42.364,-71.059
64,64,Financial District,Haymarket Square,25.828366485611625,6,1,Clear,42.356,-71.055,42.364,-71.059
65,65,Haymarket Square,Haymarket Square,25.71599094918493,6,1,Clear,42.364,-71.059,42.364,-71.059
66,66,North End,Haymarket Square,23.666492325150557,6,1,Clear,42.365,-71.056,42.364,-71.059
67,67,North Station,Haymarket Square,24.702510467962643,6,1,Clear,42.366,-71.062,42.364,-71.059
68,68,Northeastern University,Haymarket Square,22.82250064694177,6,1,Clear,42.34,-71.09,42.364,-71.059
69,69,South Station,Haymarket Square,21.38699642083381,6,1,Clear,42.352,-71.055,42.364,-71.059
70,70,Theatre District,Haymarket Square,24.59680389064845,6,1,Clear,42.352,-71.064,42.364,-71.059
71,71,West End,Haymarket Square,23.5385447038961,6,1,Clear,42.365,-71.064,42.364,-71.059
72,72,Back Bay,North End,21.776066771836128,6,1,Clear,42.35,-71.08,42.365,-71.056
73,73,Beacon Hill,North End,21.63996495254297,6,1,Clear,42.356,-71.069,42.365,-71.056
74,74,Boston University,North End,21.26663731891497,6,1,Clear,42.351,-71.105,42.365,-71.056
75,75,Fenway,North End,23.0646886506646,6,1,Clear,42.347,-71.092,42.365,-71.056
76,76,Financial District,North End,25.65265587278581,6,1,Clear,42.356,-71.055,42.365,-71.056
77,77,Haymarket Square,North End,24.25747697077136,6,1,Clear,42.364,-71.059,42.365,-71.056
78,78,North End,North End,23.67223911223556,6,1,Clear,42.365,-71.056,42.365,-71.056
79,79,North Station,North End,24.00048703487657,6,1,Clear,42.366,-71.062,42.365,-71.056
80,80,Northeastern University,North End,22.81967492335729,6,1,Clear,42.34,-71.09,42.365,-71.056
81,81,South Station,North End,21.71884515610127,6,1,Clear,42.352,-71.055,42.365,-71.056
82,82,Theatre District,North End,24.594390950305563,6,1,Clear,42.352,-71.064,42.365,-71.056
83,83,West End,North End,23.53578751899523,6,1,Clear,42.365,-71.064,42.365,-71.056
84,84,Back Bay,North Station,21.78088621851326,6,1,Clear,42.35,-71.08,42.366,-71.062
85,85,Beacon Hill,North Station,21.63190090799881,6,1,Clear,42.356,-71.069,42.366,-71.062
86,86,Boston University,North Station,21.269742969138623,6,1,Clear,42.351,-71.105,42.366,-71.062
87,87,Fenway,North Station,23.068915231091992,6,1,Clear,42.347,-71.092,42.366,-71.062
88,88,Financial District,North Station,23.383943973014183,6,1,Clear,42.356,-71.055,42.366,-71.062
89,89,Haymarket Square,North Station,25.812909834443712,6,1,Clear,42.364,-71.059,42.366,-71.062
90,90,North End,North Station,23.672339480891143,6,1,Clear,42.365,-71.056,42.366,-71.062
91,91,North Station,North Station,24.587169489081933,6,1,Clear,42.366,-71.062,42.366,-71.062
92,92,Northeastern University,North Station,22.823499067643983,6,1,Clear,42.34,-71.09,42.366,-71.062
93,93,South Station,North Station,22.79737084023684,6,1,Clear,42.352,-71.055,42.366,-71.062
94,94,Theatre District,North Station,24.595159321343846,6,1,Clear,42.352,-71.064,42.366,-71.062
95,95,West End,North Station,23.535457008557685,6,1,Clear,42.365,-71.064,42.366,-71.062
96,96,Back Bay,Northeastern University,21.77798860414124,6,1,Clear,42.35,-71.08,42.34,-71.09
97,97,Beacon Hill,Northeastern University,21.638028089797263,6,1,Clear,42.356,-71.069,42.34,-71.09
98,98,Boston University,Northeastern University,21.27289512046817,6,1,Clear,42.351,-71.105,42.34,-71.09
99,99,Fenway,Northeastern University,23.064572705429114,6,1,Clear,42.347,-71.092,42.34,-71.09
100,100,Financial District,Northeastern University,24.95214300909624,6,1,Clear,42.356,-71.055,42.34,-71.09
101,101,Haymarket Square,Northeastern University,23.982622174553043,6,1,Clear,42.364,-71.059,42.34,-71.09
102,102,North End,Northeastern University,23.673212956141896,6,1,Clear,42.365,-71.056,42.34,-71.09
103,103,North Station,Northeastern University,23.502546103817924,6,1,Clear,42.366,-71.062,42.34,-71.09
104,104,Northeastern University,Northeastern University,22.81859894246506,6,1,Clear,42.34,-71.09,42.34,-71.09
105,105,South Station,Northeastern University,20.944874357340623,6,1,Clear,42.352,-71.055,42.34,-71.09
106,106,Theatre District,Northeastern University,24.595570418465044,6,1,Clear,42.352,-71.064,42.34,-71.09
107,107,West End,Northeastern University,23.5387164040796,6,1,Clear,42.365,-71.064,42.34,-71.09
108,108,Back Bay,South Station,21.780192746655324,6,1,Clear,42.35,-71.08,42.352,-71.055
109,109,Beacon Hill,South Station,21.640102391926018,6,1,Clear,42.356,-71.069,42.352,-71.055
110,110,Boston University,South Station,21.271240329019555,6,1,Clear,42.351,-71.105,42.352,-71.055
111,111,Fenway,South Station,23.064370346892904,6,1,Clear,42.347,-71.092,42.352,-71.055
112,112,Financial District,South Station,28.82399814729684,6,1,Clear,42.356,-71.055,42.352,-71.055
113,113,Haymarket Square,South Station,24.22225643654498,6,1,Clear,42.364,-71.059,42.352,-71.055
114,114,North End,South Station,23.671392293371134,6,1,Clear,42.365,-71.056,42.352,-71.055
115,115,North Station,South Station,23.79666603539435,6,1,Clear,42.366,-71.062,42.352,-71.055
116,116,Northeastern University,South Station,22.820805138104767,6,1,Clear,42.34,-71.09,42.352,-71.055
117,117,South Station,South Station,25.32382966693287,6,1,Clear,42.352,-71.055,42.352,-71.055
118,118,Theatre District,South Station,24.599356240825998,6,1,Clear,42.352,-71.064,42.352,-71.055
119,119,West End,South Station,23.539439120300298,6,1,Clear,42.365,-71.064,42.352,-71.055
120,120,Back Bay,Theatre District,21.77664543664288,6,1,Clear,42.35,-71.08,42.352,-71.064
121,121,Beacon Hill,Theatre District,21.63857888707446,6,1,Clear,42.356,-71.069,42.352,-71.064
122,122,Boston University,Theatre District,21.27225985361402,6,1,Clear,42.351,-71.105,42.352,-71.064
123,123,Fenway,Theatre District,23.06634735267116,6,1,Clear,42.347,-71.092,42.352,-71.064
124,124,Financial District,Theatre District,23.67497718113491,6,1,Clear,42.356,-71.055,42.352,-71.064
125,125,Haymarket Square,Theatre District,24.999762320246724,6,1,Clear,42.364,-71.059,42.352,-71.064
126,126,North End,Theatre District,23.668022665246838,6,1,Clear,42.365,-71.056,42.352,-71.064
127,127,North Station,Theatre District,23.06493704857891,6,1,Clear,42.366,-71.062,42.352,-71.064
128,128,Northeastern University,Theatre District,22.82293968822356,6,1,Clear,42.34,-71.09,42.352,-71.064
129,129,South Station,Theatre District,23.571845820826663,6,1,Clear,42.352,-71.055,42.352,-71.064
130,130,Theatre District,Theatre District,24.5931030613136,6,1,Clear,42.352,-71.064,42.352,-71.064
