Source,Destination,Q,hour,weather,day,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
North Station,Haymarket Square,24.65864353673491,6,Clear,1,42.3664,-71.062,42.3638,-71.0585
Northeastern University,Haymarket Square,0.0,6,Clear,1,42.3399,-71.0899,42.3638,-71.0585
South Station,Haymarket Square,0.0,6,Clear,1,42.3519,-71.0552,42.3638,-71.0585
Theatre District,Haymarket Square,11.305978879003659,6,Clear,1,42.3519,-71.0643,42.3638,-71.0585
West End,Haymarket Square,22.279326613809292,6,Clear,1,42.3652,-71.0641,42.3638,-71.0585
Back Bay,North End,10.95316514718528,6,Clear,1,42.3495,-71.0795,42.3652,-71.0555
Beacon Hill,North End,10.662065485574105,6,Clear,1,42.3562,-71.0694,42.3652,-71.0555
Boston University,North End,0.0,6,Clear,1,42.3505,-71.1054,42.3652,-71.0555
Fenway,North End,0.0,6,Clear,1,42.3468,-71.0923,42.3652,-71.0555
Financial District,North End,14.686123334931755,6,Clear,1,42.3559,-71.055,42.3652,-71.0555
Haymarket Square,North End,0.0,6,Clear,1,42.3638,-71.0585,42.3652,-71.0555
North End,North End,0.0,6,Clear,1,42.3652,-71.0555,42.3652,-71.0555
North Station,North End,13.849466325494655,6,Clear,1,42.3664,-71.062,42.3652,-71.0555
Northeastern University,North End,0.0,6,Clear,1,42.3399,-71.0899,42.3652,-71.0555
South Station,North End,0.0,6,Clear,1,42.3519,-71.0552,42.3652,-71.0555
Theatre District,North End,10.703371808122649,6,Clear,1,42.3519,-71.0643,42.3652,-71.0555
West End,North End,11.147501121636571,6,Clear,1,42.3652,-71.0641,42.3652,-71.0555
Back Bay,North Station,0.0,6,Clear,1,42.3495,-71.0795,42.3664,-71.062
Beacon Hill,North Station,0.0,6,Clear,1,42.3562,-71.0694,42.3664,-71.062
Boston University,North Station,10.637552485879494,6,Clear,1,42.3505,-71.1054,42.3664,-71.062
Fenway,North Station,10.683466190765909,6,Clear,1,42.3468,-71.0923,42.3664,-71.062
Financial District,North Station,0.0,6,Clear,1,42.3559,-71.055,42.3664,-71.062
Haymarket Square,North Station,25.80309176395472,6,Clear,1,42.3638,-71.0585,42.3664,-71.062
North End,North Station,11.746552040970116,6,Clear,1,42.3652,-71.0555,42.3664,-71.062
North Station,North Station,0.0,6,Clear,1,42.3664,-71.062,42.3664,-71.062
Northeastern University,North Station,11.789308594102785,6,Clear,1,42.3399,-71.0899,42.3664,-71.062
South Station,North Station,14.805518977696444,6,Clear,1,42.3519,-71.0552,42.3664,-71.062
Theatre District,North Station,0.0,6,Clear,1,42.3519,-71.0643,42.3664,-71.062
West End,North Station,0.0,6,Clear,1,42.3652,-71.0641,42.3664,-71.062
Back Bay,Northeastern University,15.51822556638371,6,Clear,1,42.3495,-71.0795,42.3399,-71.0899
Beacon Hill,Northeastern University,10.040178376041977,6,Clear,1,42.3562,-71.0694,42.3399,-71.0899
Boston University,Northeastern University,0.0,6,Clear,1,42.3505,-71.1054,42.3399,-71.0899
Fenway,Northeastern University,0.0,6,Clear,1,42.3468,-71.0923,42.3399,-71.0899
Financial District,Northeastern University,11.152899956218384,6,Clear,1,42.3559,-71.055,42.3399,-71.0899
Haymarket Square,Northeastern University,0.0,6,Clear,1,42.3638,-71.0585,42.3399,-71.0899
North End,Northeastern University,0.0,6,Clear,1,42.3652,-71.0555,42.3399,-71.0899
North Station,Northeastern University,10.618693044495647,6,Clear,1,42.3664,-71.062,42.3399,-71.0899
Northeastern University,Northeastern University,0.0,6,Clear,1,42.3399,-71.0899,42.3399,-71.0899
South Station,Northeastern University,0.0,6,Clear,1,42.3519,-71.0552,42.3399,-71.0899
Theatre District,Northeastern University,10.20127520139039,6,Clear,1,42.3519,-71.0643,42.3399,-71.0899
West End,Northeastern University,9.81555261799797,6,Clear,1,42.3652,-71.0641,42.3399,-71.0899
Back Bay,South Station,12.740863439135259,6,Clear,1,42.3495,-71.0795,42.3519,-71.0552
Beacon Hill,South Station,10.86884389042611,6,Clear,1,42.3562,-71.0694,42.3519,-71.0552
Boston University,South Station,0.0,6,Clear,1,42.3505,-71.1054,42.3519,-71.0552
Fenway,South Station,0.0,6,Clear,1,42.3468,-71.0923,42.3519,-71.0552
Financial District,South Station,28.86234656111565,6,Clear,1,42.3559,-71.055,42.3519,-71.0552
Haymarket Square,South Station,0.0,6,Clear,1,42.3638,-71.0585,42.3519,-71.0552
North End,South Station,0.0,6,Clear,1,42.3652,-71.0555,42.3519,-71.0552
North Station,South Station,13.678870019039346,6,Clear,1,42.3664,-71.062,42.3519,-71.0552
Northeastern University,South Station,0.0,6,Clear,1,42.3399,-71.0899,42.3519,-71.0552
South Station,South Station,0.0,6,Clear,1,42.3519,-71.0552,42.3519,-71.0552
Theatre District,South Station,23.909094377440248,6,Clear,1,42.3519,-71.0643,42.3519,-71.0552
West End,South Station,10.922541503099872,6,Clear,1,42.3652,-71.0641,42.3519,-71.0552
Back Bay,Theatre District,0.0,6,Clear,1,42.3495,-71.0795,42.3519,-71.0643
Beacon Hill,Theatre District,0.0,6,Clear,1,42.3562,-71.0694,42.3519,-71.0643
Boston University,Theatre District,10.501981836204894,6,Clear,1,42.3505,-71.1054,42.3519,-71.0643
Fenway,Theatre District,10.560366106726047,6,Clear,1,42.3468,-71.0923,42.3519,-71.0643
Financial District,Theatre District,0.0,6,Clear,1,42.3559,-71.055,42.3519,-71.0643
Haymarket Square,Theatre District,14.729177280646924,6,Clear,1,42.3638,-71.0585,42.3519,-71.0643
North End,Theatre District,11.03402411987011,6,Clear,1,42.3652,-71.0555,42.3519,-71.0643
North Station,Theatre District,0.0,6,Clear,1,42.3664,-71.062,42.3519,-71.0643
Northeastern University,Theatre District,11.668252472249865,6,Clear,1,42.3399,-71.0899,42.3519,-71.0643
South Station,Theatre District,15.282707409769474,6,Clear,1,42.3519,-71.0552,42.3519,-71.0643
Theatre District,Theatre District,0.0,6,Clear,1,42.3519,-71.0643,42.3519,-71.0643
West End,Theatre District,0.0,6,Clear,1,42.3652,-71.0641,42.3519,-71.0643
Back Bay,West End,0.0,6,Clear,1,42.3495,-71.0795,42.3652,-71.0641
Beacon Hill,West End,0.0,6,Clear,1,42.3562,-71.0694,42.3652,-71.0641
Boston University,West End,10.312833504532128,6,Clear,1,42.3505,-71.1054,42.3652,-71.0641
Fenway,West End,10.341135360887105,6,Clear,1,42.3468,-71.0923,42.3652,-71.0641
Financial District,West End,0.0,6,Clear,1,42.3559,-71.055,42.3652,-71.0641
Haymarket Square,West End,17.532357566581567,6,Clear,1,42.3638,-71.0585,42.3652,-71.0641
North End,West End,11.157568009040263,6,Clear,1,42.3652,-71.0555,42.3652,-71.0641
North Station,West End,0.0,6,Clear,1,42.3664,-71.062,42.3652,-71.0641
Northeastern University,West End,10.948669019376277,6,Clear,1,42.3399,-71.0899,42.3652,-71.0641
South Station,West End,13.865920707666268,6,Clear,1,42.3519,-71.0552,42.3652,-71.0641
Theatre District,West End,0.0,6,Clear,1,42.3519,-71.0643,42.3652,-71.0641
West End,West End,0.0,6,Clear,1,42.3652,-71.0641,42.3652,-71.0641
Back Bay,Back Bay,0.0,6,Clear,2,42.3495,-71.0795,42.3495,-71.0795
Beacon Hill,Back Bay,0.0,6,Clear,2,42.3562,-71.0694,42.3495,-71.0795
Boston University,Back Bay,12.995232768127185,6,Clear,2,42.3505,-71.1054,42.3495,-71.0795
Fenway,Back Bay,12.816635005882588,6,Clear,2,42.3468,-71.0923,42.3495,-71.0795
Financial District,Back Bay,0.0,6,Clear,2,42.3559,-71.055,42.3495,-71.0795
Haymarket Square,Back Bay,10.864916648649062,6,Clear,2,42.3638,-71.0585,42.3495,-71.0795
North End,Back Bay,9.893109609928997,6,Clear,2,42.3652,-71.0555,42.3495,-71.0795
North Station,Back Bay,0.0,6,Clear,2,42.3664,-71.062,42.3495,-71.0795
Northeastern University,Back Bay,11.529530841134342,6,Clear,2,42.3399,-71.0899,42.3495,-71.0795
South Station,Back Bay,10.572424542542,6,Clear,2,42.3519,-71.0552,42.3495,-71.0795
Theatre District,Back Bay,0.0,6,Clear,2,42.3519,-71.0643,42.3495,-71.0795
West End,Back Bay,0.0,6,Clear,2,42.3652,-71.0641,42.3495,-71.0795
Back Bay,Beacon Hill,0.0,6,Clear,2,42.3495,-71.0795,42.3562,-71.0694
Beacon Hill,Beacon Hill,0.0,6,Clear,2,42.3562,-71.0694,42.3562,-71.0694
Boston University,Beacon Hill,10.100061924745042,6,Clear,2,42.3505,-71.1054,42.3562,-71.0694
Fenway,Beacon Hill,10.08239958861917,6,Clear,2,42.3468,-71.0923,42.3562,-71.0694
Financial District,Beacon Hill,0.0,6,Clear,2,42.3559,-71.055,42.3562,-71.0694
Haymarket Square,Beacon Hill,12.987565897744755,6,Clear,2,42.3638,-71.0585,42.3562,-71.0694
North End,Beacon Hill,10.333025633776707,6,Clear,2,42.3652,-71.0555,42.3562,-71.0694
North Station,Beacon Hill,0.0,6,Clear,2,42.3664,-71.062,42.3562,-71.0694
Northeastern University,Beacon Hill,10.508731922812542,6,Clear,2,42.3399,-71.0899,42.3562,-71.0694
South Station,Beacon Hill,12.054099858832743,6,Clear,2,42.3519,-71.0552,42.3562,-71.0694
Theatre District,Beacon Hill,0.0,6,Clear,2,42.3519,-71.0643,42.3562,-71.0694
West End,Beacon Hill,0.0,6,Clear,2,42.3652,-71.0641,42.3562,-71.0694
Back Bay,Boston University,10.585474480151593,6,Clear,2,42.3495,-71.0795,42.3505,-71.1054
Beacon Hill,Boston University,9.860767464846669,6,Clear,2,42.3562,-71.0694,42.3505,-71.1054
Boston University,Boston University,0.0,6,Clear,2,42.3505,-71.1054,42.3505,-71.1054
Fenway,Boston University,0.0,6,Clear,2,42.3468,-71.0923,42.3505,-71.1054
Financial District,Boston University,9.232588663703082,6,Clear,2,42.3559,-71.055,42.3505,-71.1054
Haymarket Square,Boston University,0.0,6,Clear,2,42.3638,-71.0585,42.3505,-71.1054
North End,Boston University,0.0,6,Clear,2,42.3652,-71.0555,42.3505,-71.1054
North Station,Boston University,9.653086142937237,6,Clear,2,42.3664,-71.062,42.3505,-71.1054
Northeastern University,Boston University,0.0,6,Clear,2,42.3399,-71.0899,42.3505,-71.1054
South Station,Boston University,0.0,6,Clear,2,42.3519,-71.0552,42.3505,-71.1054
Theatre District,Boston University,9.789600327902273,6,Clear,2,42.3519,-71.0643,42.3505,-71.1054
West End,Boston University,9.717149003834376,6,Clear,2,42.3652,-71.0641,42.3505,-71.1054
Back Bay,Fenway,10.654280797980409,6,Clear,2,42.3495,-71.0795,42.3468,-71.0923
Beacon Hill,Fenway,9.827803654824848,6,Clear,2,42.3562,-71.0694,42.3468,-71.0923
Boston University,Fenway,0.0,6,Clear,2,42.3505,-71.1054,42.3468,-71.0923
Fenway,Fenway,0.0,6,Clear,2,42.3468,-71.0923,42.3468,-71.0923
Financial District,Fenway,9.2844752538259,6,Clear,2,42.3559,-71.055,42.3468,-71.0923
Haymarket Square,Fenway,0.0,6,Clear,2,42.3638,-71.0585,42.3468,-71.0923
North End,Fenway,0.0,6,Clear,2,42.3652,-71.0555,42.3468,-71.0923
North Station,Fenway,9.586350643047403,6,Clear,2,42.3664,-71.062,42.3468,-71.0923
Northeastern University,Fenway,0.0,6,Clear,2,42.3399,-71.0899,42.3468,-71.0923
South Station,Fenway,0.0,6,Clear,2,42.3519,-71.0552,42.3468,-71.0923
Theatre District,Fenway,9.717522081583583,6,Clear,2,42.3519,-71.0643,42.3468,-71.0923
West End,Fenway,9.680424020877055,6,Clear,2,42.3652,-71.0641,42.3468,-71.0923
Back Bay,Financial District,0.0,6,Clear,2,42.3495,-71.0795,42.3559,-71.055
Beacon Hill,Financial District,0.0,6,Clear,2,42.3562,-71.0694,42.3559,-71.055
Boston University,Financial District,10.995127273344602,6,Clear,2,42.3505,-71.1054,42.3559,-71.055
Fenway,Financial District,11.028988106268097,6,Clear,2,42.3468,-71.0923,42.3559,-71.055
Financial District,Financial District,0.0,6,Clear,2,42.3559,-71.055,42.3559,-71.055
Haymarket Square,Financial District,17.468166142803607,6,Clear,2,42.3638,-71.0585,42.3559,-71.055
North End,Financial District,21.386514544692357,6,Clear,2,42.3652,-71.0555,42.3559,-71.055
North Station,Financial District,0.0,6,Clear,2,42.3664,-71.062,42.3559,-71.055
Northeastern University,Financial District,17.751566611832274,6,Clear,2,42.3399,-71.0899,42.3559,-71.055
South Station,Financial District,25.42471450915127,6,Clear,2,42.3519,-71.0552,42.3559,-71.055
Theatre District,Financial District,0.0,6,Clear,2,42.3519,-71.0643,42.3559,-71.055
West End,Financial District,0.0,6,Clear,2,42.3652,-71.0641,42.3559,-71.055
Back Bay,Haymarket Square,12.527302602935915,6,Clear,2,42.3495,-71.0795,42.3638,-71.0585
Beacon Hill,Haymarket Square,18.76892906005293,6,Clear,2,42.3562,-71.0694,42.3638,-71.0585
Boston University,Haymarket Square,0.0,6,Clear,2,42.3505,-71.1054,42.3638,-71.0585
Fenway,Haymarket Square,0.0,6,Clear,2,42.3468,-71.0923,42.3638,-71.0585
Financial District,Haymarket Square,16.682478343253713,6,Clear,2,42.3559,-71.055,42.3638,-71.0585
Haymarket Square,Haymarket Square,0.0,6,Clear,2,42.3638,-71.0585,42.3638,-71.0585
North End,Haymarket Square,0.0,6,Clear,2,42.3652,-71.0555,42.3638,-71.0585
